, 0, 0, 0, 1, 2, 5, 9, 13, 21, 33
, 0, 0, 0, 0, 1, 3, 7, 14, 20, 30
, 0, 0, 2, 14, 24, 35, 46, 56, 68, 81
, 0, 0, 6, 20, 30, 43, 55, 67, 78, 87
, 0, 0, 10, 22, 34, 47, 61, 75, 85, 93
, 0, 0, 10, 23, 33, 48, 61, 73, 85, 94
, 0, 1, 4, 6, 11, 17, 23, 30, 40, 54
, 0, 0, 0, 0, 1, 4, 10, 14, 22, 33
, 0, 0, 2, 10, 17, 25, 33, 43, 54, 68
, 0, 0, 6, 26, 42, 58, 70, 79, 87, 93
, 0, 0, 4, 9, 14, 19, 26, 32, 42, 55
, 0, 0, 11, 24, 35, 49, 63, 75, 85, 92
, 0, 0, 5, 11, 18, 24, 32, 40, 51, 63
, 0, 0, 3, 8, 14, 20, 27, 35, 45, 56
, 0, 0, 2, 8, 16, 22, 30, 38, 49, 61
, 0, 0, 0, 0, 1, 4, 7, 13, 22, 38
, 0, 0, 0, 0, 1, 4, 7, 13, 22, 40
, 0, 0, 4, 10, 16, 23, 31, 40, 49, 61
, 0, 0, 4, 11, 17, 24, 32, 40, 51, 62
, 0, 0, 0, 0, 3, 6, 10, 14, 19, 28
, 0, 0, 4, 12, 17, 24, 29, 38, 48, 61
, 0, 0, 2, 7, 14, 21, 30, 40, 50, 65
, 0, 0, 13, 24, 36, 49, 62, 74, 83, 91
, 0, 0, 0, 0, 1, 4, 8, 14, 21, 36
, 0, 0, 1, 7, 14, 20, 29, 39, 50, 67
, 0, 0, 0, 0, 1, 5, 9, 16, 23, 34
, 0, 0, 7, 23, 37, 50, 62, 72, 80, 89
, 0, 0, 3, 13, 19, 27, 34, 43, 52, 63
, 0, 0, 2, 17, 28, 43, 55, 68, 85, 96
, 0, 0, 2, 20, 34, 49, 62, 74, 86, 96
, 0, 0, 0, 0, 1, 2, 5, 10, 15, 22
, 0, 0, 0, 0, 1, 4, 9, 17, 29, 46
, 0, 0, 0, 5, 12, 18, 27, 39, 54, 63
, 0, 0, 11, 22, 34, 48, 62, 73, 83, 91
, 0, 0, 3, 8, 13, 20, 28, 37, 46, 58
, 0, 0, 11, 23, 34, 47, 60, 71, 81, 89
, 0, 0, 0, 0, 2, 6, 12, 18, 24, 32
, 0, 0, 1, 7, 13, 19, 27, 34, 45, 57
, 0, 0, 13, 24, 33, 45, 57, 71, 84, 95
, 0, 0, 3, 18, 27, 40, 54, 67, 78, 88
, 0, 0, 0, 0, 1, 3, 5, 10, 18, 26
